InsertTime,FileName,TableName,Biome,SiteType,SiteNumber,ReachType,Date,Sample number,Sampling Time (hh:mm),Ammonium (ug N/L),Chloride tracer (mg/L),Bromide tracer (mg/L),Comments,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,1,10:42:00,3.8,-9999.0,1.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,2,10:53:30,6.3,-9999.0,1.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,3,10:54:00,15.7,-9999.0,4.0,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,4,10:54:45,31.3,-9999.0,7.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,5,10:55:15,55.6,-9999.0,12.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,6,10:56:00,95.6,-9999.0,22.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,7,10:56:45,178.2,-9999.0,33.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,8,10:57:45,279.0,-9999.0,48.4,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,9,10:58:30,293.1,-9999.0,59.9,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,10,10:59:15,355.6,-9999.0,71.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,11,11:00:00,402.0,-9999.0,82.8,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,12,11:01:00,458.9,-9999.0,88.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,13,11:02:00,464.3,-9999.0,91.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,14,11:03:00,466.5,-9999.0,90.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,15,11:04:00,451.0,-9999.0,87.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,16,11:05:30,416.4,-9999.0,79.4,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,17,11:07:00,-9999.0,-9999.0,71.9,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,18,11:09:00,326.7,-9999.0,62.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,19,11:10:30,273.3,-9999.0,54.3,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,20,11:12:00,282.6,-9999.0,47.5,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,21,11:15:00,218.6,-9999.0,37.0,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,22,11:18:00,167.3,-9999.0,29.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,23,11:22:00,111.4,-9999.0,20.8,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,24,11:26:00,75.3,-9999.0,15.2,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,25,11:31:00,44.5,-9999.0,10.5,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,26,11:38:00,26.8,-9999.0,7.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,27,11:45:00,17.8,-9999.0,4.6,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,28,11:58:00,9.4,-9999.0,3.0,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,29,12:12:00,5.2,-9999.0,2.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,1,C,5/31/2014 12:00:00 AM,30,12:32:00,3.7,-9999.0,1.4,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,1,09:22:00,13.1,-9999.0,2.8,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,2,09:27:30,20.0,-9999.0,2.5,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,3,09:31:00,27.0,-9999.0,4.0,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,4,09:31:45,66.7,-9999.0,7.4,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,5,09:32:30,69.4,-9999.0,10.9,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,6,09:33:15,105.3,-9999.0,15.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,7,09:34:00,225.5,-9999.0,29.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,8,09:34:45,237.9,-9999.0,31.8,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,9,09:35:30,323.2,-9999.0,41.9,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,10,09:36:15,350.7,-9999.0,48.2,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,11,09:37:00,362.9,-9999.0,49.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,12,09:37:30,370.5,-9999.0,50.3,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,13,09:38:00,356.0,-9999.0,50.1,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,14,09:39:15,312.6,-9999.0,42.2,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,15,09:40:00,299.9,-9999.0,39.2,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,16,09:42:00,238.1,-9999.0,32.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,17,09:44:00,185.8,-9999.0,26.3,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,18,09:46:00,152.6,-9999.0,21.7,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,19,09:48:00,127.3,-9999.0,17.8,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,20,09:50:00,107.3,-9999.0,14.3,,
8/29/2014 1:30:00 PM,KNZ140827_ammuptake_reach.csv,Nutu12,KNZ,E,3,C,6/3/2014 12:00:00 AM,21,09:54:30,60.7,-9999.0,11.4,,
